id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
200001,111111,2.0,55.0,6.020797289396148
100001,59,0.0,64.67823512813831,5.099019513592785
100006,55,2.0,120.95584413290325,4.0
200006,111111,0.0,129.94112551053917,7.071067811865475
200005,111111,2.0,135.0,0.0
100005,237,0.0,142.7993150392776,6.082762530298219
100010,122,1.0,157.2006849607224,8.602325267042627
200010,111111,0.0,165.0,6.082762530298219
200009,111111,2.0,167.4832427758913,0.0
100009,64,0.0,175.6669918638816,6.4031242374328485
200012,111111,2.0,205.0,6.4031242374328485
100012,258,0.0,219.20839159603838,7.615773105863909
100016,275,1.0,299.12079325227677,1.0
200016,111111,0.0,315.0,8.544003745317532
200017,111111,4.0,355.0,0.0
100017,123,0.0,364.6782351281383,5.099019513592785
200019,111111,3.0,535.0,5.099019513592785
100019,73,0.0,545.6823376531593,5.656854249492381
200020,111111,1.0,655.0,5.656854249492381
100020,115,0.0,663.5498447222192,4.47213595499958
200021,111111,1.0,675.0,4.47213595499958
100021,167,0.0,679.8266615322874,3.6055512754639896
100022,74,2.0,698.4999999976,6.0
200022,111111,0.0,705.0,5.0
200027,111111,3.0,865.0,0.0
100027,84,0.0,880.0120639527422,8.06225774829855
200029,111111,3.0,895.0,8.06225774829855
100029,119,0.0,910.3431802581608,8.246211251235321
999999,999999,0.0,21065.0,6.946221994724902
